Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
UC Santa Barbara Gauchos - Utah Valley Wolverines 5:1,United States. NCAA D1 Non-conference matches,2022-09-12,0,10,7,4,0,0,0,0,0,4,3,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,31
CSUN Matadors - Utah Valley Wolverines 0:2,United States. NCAA D1 Non-conference matches,2022-09-09,LCB,21,14,8,0,0,0,0,0,5,4,1,0,0,0,0,0,5,3,0,0,1,4,2,0,0,0,0
Washington Huskies - Utah Valley Wolverines 4:1,United States. NCAA D1 Non-conference matches,2022-09-03,LCB,20,16,10,0,0,0,0,0,13,8,3,0,0,0,0,0,3,2,0,0,0,3,2,2,0,0,0
