Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,RAMF,56,55,36,0,0,1,1,0.02,25,19,1,0,5,3,11,9,23,14,3,0,3,8,6,8,2,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,"LCMF, RW",56,44,21,0,0,0,0,0,26,14,2,0,8,1,4,2,18,7,0,0,0,12,1,6,3,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,RW,89,54,26,0,0,0,0,0,21,12,1,0,1,0,7,3,24,13,0,0,5,14,7,8,2,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,RWB,69,48,20,0,0,1,0,0,20,9,3,1,1,0,2,1,14,7,0,0,5,14,7,7,2,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,"RB, RWB",93,78,55,0,1,1,0,0.03,46,37,7,3,4,3,7,5,21,12,0,0,4,15,1,6,2,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,RWB,65,37,21,0,1,0,0,0,20,17,1,1,5,4,5,3,11,4,0,0,3,5,1,5,0,0,0
Mercer Bears - Belmont Bruins 4:3,United States. NCAA D1 Southern,2021-11-14,RAMF,25,14,10,0,0,0,0,0,9,8,1,0,1,1,2,0,4,2,0,0,0,3,1,1,0,0,0
UNCG Spartans - Belmont Bruins 1:2,United States. NCAA D1 Southern,2021-11-08,LAMF,38,26,11,0,0,0,0,0,12,6,3,1,1,0,4,2,12,5,2,0,0,13,3,2,0,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-11-05,LAMF,58,52,26,0,0,0,0,0,18,13,4,2,2,1,8,3,25,9,0,0,2,11,3,2,0,0,0
Belmont Bruins - Evansville Purple Aces 2:1,United States. NCAA D1 Non-conference matches,2021-10-13,RAMF,65,46,20,0,0,1,0,0.1,14,7,1,0,4,1,7,5,18,11,1,0,1,6,1,2,2,0,0
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,"LAMF, RAMF",45,35,14,0,0,1,1,0.02,8,6,0,0,1,0,4,2,16,6,1,1,2,5,1,2,2,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,"LW, RW",45,55,26,1,0,1,1,0.2,24,17,0,0,4,1,8,3,21,7,2,1,4,9,2,3,2,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,"LW, RW",54,46,28,0,0,1,1,0.05,16,13,1,1,4,2,13,8,22,12,1,0,0,5,1,3,2,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,"LW, RW",69,44,19,0,0,0,0,0,22,14,2,0,4,1,6,1,17,5,3,1,3,9,2,7,5,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,"RAMF, RW",82,67,36,0,0,2,0,0.51,30,15,1,1,14,3,11,7,24,13,1,1,4,12,2,4,3,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,"LAMF, RAMF",62,47,24,0,0,0,0,0,20,11,0,0,4,0,4,3,21,12,0,0,3,10,3,3,1,0,0
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,RAMF,86,63,34,0,0,2,0,0.01,26,19,1,1,6,1,10,5,26,13,0,0,2,8,2,9,6,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,RAMF,71,47,23,0,0,0,0,0,16,9,2,1,8,2,11,6,24,11,1,0,3,7,1,5,3,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,RW,79,40,23,0,0,1,0,0.11,20,16,2,1,1,0,9,5,16,7,0,0,3,6,2,4,1,0,0
Missouri State Bears - Belmont Bruins 3:1,United States. NCAA D1 Non-conference matches,2021-08-27,"LCMF3, RW",82,61,36,0,0,1,1,0.04,21,17,1,1,6,3,8,6,24,15,2,2,3,12,4,4,2,0,0
UNCG Spartans - Belmont Bruins 1:0,United States. NCAA D1 Southern,2021-04-18,"LW, RW",93,82,49,0,0,0,0,0,44,30,4,2,4,2,4,4,23,15,3,2,7,17,4,11,7,0,0
Furman Paladins - Belmont Bruins 1:3,United States. NCAA D1 Southern,2021-04-10,"LW, RW",96,78,27,1,0,1,1,0.54,20,13,3,0,4,1,10,4,31,12,3,0,8,16,4,11,5,0,0
Belmont Bruins - Furman Paladins 0:3,United States. NCAA D1 Southern,2021-03-31,"LW, RW",94,72,40,0,0,1,0,0.01,27,21,2,2,4,2,12,7,38,18,2,0,3,14,6,4,2,0,0
UNCG Spartans - Belmont Bruins 3:2,United States. NCAA D1 Southern,2021-03-27,RW,97,77,39,0,0,0,0,0,29,22,1,1,7,4,15,6,43,17,6,2,3,11,2,8,2,0,0
ETSU Buccaneers - Belmont Bruins 0:0,United States. NCAA D1 Southern,2021-03-23,"LW, RW",96,86,47,0,0,3,1,0.31,34,27,3,3,4,2,14,7,39,14,7,0,6,16,3,8,6,0,0
Belmont Bruins - VMI Keydets 5:0,United States. NCAA D1 Southern,2021-03-16,RW,51,42,28,0,0,1,1,0.02,21,18,2,1,2,2,7,4,17,7,1,0,1,9,2,1,1,0,0
Wofford Terriers - Belmont Bruins 0:1,United States. NCAA D1 Southern,2021-03-13,RW,85,53,24,0,0,0,0,0,14,9,1,0,2,0,7,3,31,15,3,2,4,10,4,7,2,0,0
Trevecca Nazarene Trojans - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2021-03-06,RAMF,87,58,35,0,0,1,0,0.04,33,27,4,3,6,3,9,4,17,6,1,0,4,12,2,7,3,0,0
Belmont Bruins - Lipscomb Bisons 2:1 (E),United States. NCAA D1 Non-conference matches,2021-03-03,RAMF,103,83,44,0,1,0,0,0,40,29,3,0,3,2,7,3,31,15,2,0,4,15,6,5,2,49,0
Belmont Bruins - Central Arkansas Bears 0:0,United States. NCAA D1 Non-conference matches,2021-02-26,"LAMF, RAMF",101,70,44,0,0,3,1,0.45,24,23,1,0,0,0,8,5,36,20,2,1,3,8,6,10,4,0,0
Bellarmine Knights - Belmont Bruins 0:3,United States. NCAA D1 Non-conference matches,2021-02-21,"LAMF, RAMF",76,68,41,0,0,1,0,0.13,33,27,2,2,4,2,10,6,29,14,3,1,3,10,1,9,4,0,0
