Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,"AMF, LAMF",75,67,37,0,1,2,1,0.04,34,21,7,2,2,0,4,3,20,11,1,0,1,16,3,4,2,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,"LW, RCMF",83,41,27,0,1,4,3,0.24,15,12,1,1,1,0,1,1,15,8,0,0,2,8,3,6,3,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,LW,94,46,20,0,0,2,1,0.12,20,13,2,1,2,0,5,2,15,6,0,0,2,10,1,6,3,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,"AMF, CF",71,55,29,0,0,1,1,0.04,22,15,1,0,0,0,2,0,18,9,0,0,3,10,4,2,1,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,AMF,99,71,48,0,0,3,1,0.13,42,34,1,1,0,0,8,4,19,10,1,0,2,13,5,7,4,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,AMF,68,43,27,0,0,0,0,0,20,17,0,0,1,0,1,1,17,8,6,1,2,7,3,8,4,0,0
Kentucky Wildcats - Bellarmine Knights 2:1,United States. NCAA D1 Non-conference matches,2021-10-27,LW,65,47,34,0,0,2,0,0.07,28,25,1,1,2,1,4,3,13,9,0,0,2,4,2,4,2,0,0
Kentucky Wildcats - South Carolina Gamecocks 0:0,United States. NCAA D1 Conference USA,2021-10-24,CF,11,12,6,0,0,0,0,0,5,5,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0
Kentucky Wildcats - West Virginia Mountaineers 1:0 (E),United States. NCAA D1 Non-conference matches,2021-10-20,CF,18,8,6,0,0,0,0,0,6,4,0,0,0,0,0,0,2,2,1,1,0,2,0,1,1,0,0
Old Dominion Monarchs - Kentucky Wildcats 0:2,United States. NCAA D1 Conference USA,2021-10-16,CF,23,28,16,0,0,2,1,0.8,11,8,0,0,2,2,5,5,11,7,2,1,1,4,0,2,1,0,0
Kentucky Wildcats - UAB Blazers 3:1,United States. NCAA D1 Conference USA,2021-10-04,AMF,62,50,29,0,1,2,1,0.29,26,22,0,0,0,0,2,1,20,6,0,0,4,8,1,4,4,0,0
Dayton Flyers - Kentucky Wildcats 1:3,United States. NCAA D1 Non-conference matches,2021-09-30,"LW, CF",40,58,33,0,0,2,1,0.06,23,20,1,0,0,0,7,4,24,12,1,0,2,12,5,5,3,0,0
Marshall Thundering Herd - Kentucky Wildcats 0:0,United States. NCAA D1 Conference USA,2021-09-26,CF,20,18,9,0,0,0,0,0,6,5,0,0,0,0,0,0,7,4,1,0,1,2,0,1,1,0,0
Kentucky Wildcats - Western Michigan Broncos 1:0,United States. NCAA D1 Non-conference matches,2021-09-19,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Kentucky Wildcats - Duquesne Duke 3:1,United States. NCAA D1 Non-conference matches,2021-09-13,CF,54,44,26,0,0,3,1,0.2,21,19,0,0,1,0,2,1,11,5,1,1,0,6,1,2,1,0,0
Kentucky Wildcats - Wright State Raiders 3:0,United States. NCAA D1 Non-conference matches,2021-08-31,0,15,14,7,0,0,0,0,0,8,7,0,0,0,0,1,0,4,0,0,0,2,3,2,1,0,0,0
New Hampshire Wildcats - Kentucky Wildcats 0:2,United States. NCAA D1 College Cup,2021-05-02,CF,22,11,5,0,0,0,0,0,5,3,1,0,0,0,0,0,4,2,1,1,0,3,0,1,0,0,0
South Carolina Gamecocks - Kentucky Wildcats 1:2,United States. NCAA D1 Conference USA,2021-04-17,CF,11,6,4,0,0,0,0,0,3,3,0,0,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0
FIU Panthers - Kentucky Wildcats 1:1,United States. NCAA D1 Conference USA,2021-04-03,CF,22,14,9,0,0,1,1,0.04,8,8,1,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0
UAB Blazers - Kentucky Wildcats 1:0 (E),United States. NCAA D1 Conference USA,2021-03-27,AMF,63,62,22,0,0,2,0,0.24,24,16,3,0,1,1,2,1,24,5,5,0,4,12,6,4,2,48,0
Kentucky Wildcats - Marshall Thundering Herd 0:1,United States. NCAA D1 Conference USA,2021-03-18,AMF,68,51,23,0,0,2,0,0.05,23,19,1,1,0,0,1,0,12,4,0,0,2,5,0,5,3,0,0
FAU Owls - Kentucky Wildcats 1:3,United States. NCAA D1 Conference USA,2021-03-13,AMF,52,47,22,1,0,2,1,0.14,14,13,2,2,0,0,3,3,16,6,2,0,2,11,4,3,3,0,0
Kentucky Wildcats - Bowling Green State Falcons 1:0,United States. NCAA D1 Non-conference matches,2021-03-02,AMF,45,31,18,0,0,1,0,0.02,19,16,1,1,0,0,1,0,6,2,1,1,0,3,1,4,3,0,0
Kentucky Wildcats - Akron Zips 1:1,United States. NCAA D1 Non-conference matches,2021-02-25,RAMF,20,14,9,0,0,0,0,0,9,8,0,0,1,0,0,0,4,1,0,0,1,2,1,2,1,0,0
Duke Blue Devils University - Kentucky Wildcats 0:1,United States. NCAA D1 Non-conference matches,2021-02-20,"AMF, RAMF",43,26,8,0,0,0,0,0,10,6,0,0,0,0,3,0,10,2,2,0,3,10,6,5,2,0,0
Kentucky Wildcats - Xavier Musketeers 2:1,United States. NCAA D1 Non-conference matches,2021-02-09,AMF,20,16,6,0,0,0,0,0,7,4,0,0,0,0,0,0,5,2,2,1,0,7,1,2,2,0,0
Indiana Hoosiers - Kentucky Wildcats 3:0,United States. NCAA D1 College Cup,2019-11-24,"LW, RW",72,51,22,0,0,0,0,0,22,15,4,0,0,0,5,1,15,6,2,1,3,15,6,4,3,0,0
