Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,"AMF, LDMF",75,42,21,0,0,3,1,0.15,19,10,3,1,1,0,5,3,16,10,3,2,1,9,2,6,2,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,CF,79,28,14,1,0,3,2,0.74,12,9,1,1,1,1,0,0,9,3,0,0,0,3,0,1,1,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,AMF,77,33,15,0,0,1,1,0.23,8,4,1,0,0,0,6,2,17,10,4,3,0,12,4,0,0,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,AMF,74,42,17,0,0,1,0,0,17,12,2,1,0,0,1,1,16,5,4,1,3,9,4,6,1,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,CF,78,36,20,0,0,2,0,0.23,13,9,2,1,1,0,2,1,14,9,4,2,2,5,2,6,3,0,0
Mercer Bears - Belmont Bruins 4:3,United States. NCAA D1 Southern,2021-11-14,AMF,110,50,18,0,0,3,1,0.44,21,12,1,1,1,0,0,0,24,5,14,2,0,21,9,3,1,0,0
UNCG Spartans - Belmont Bruins 1:2,United States. NCAA D1 Southern,2021-11-08,AMF,80,52,22,0,0,1,0,0.12,17,12,3,1,0,0,2,1,26,10,9,3,4,20,6,5,4,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-11-05,"AMF, CF",89,75,31,1,0,4,1,0.34,30,17,4,2,1,0,4,3,21,12,4,2,1,14,4,4,3,78,0
Eastern Illinois Panthers - Belmont Bruins 0:2,United States. NCAA D1 Non-conference matches,2021-10-26,"AMF, CF, LCMF",80,51,31,0,0,3,2,0.5,24,20,3,0,1,1,3,1,17,9,4,1,5,11,2,6,4,0,0
Belmont Bruins - UNCG Spartans 2:1,United States. NCAA D1 Southern,2021-10-17,"AMF, CF",70,44,15,1,0,1,1,0.64,13,6,1,0,0,0,1,0,24,8,11,3,1,16,4,3,3,0,0
Belmont Bruins - Evansville Purple Aces 2:1,United States. NCAA D1 Non-conference matches,2021-10-13,AMF,68,59,24,1,0,2,2,0.34,15,9,0,0,0,0,2,1,29,12,9,3,0,5,1,2,0,0,0
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,"AMF, RDMF",93,56,18,0,0,0,0,0,12,9,2,2,0,0,2,1,22,8,1,0,4,6,1,5,2,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,"CF, LCMF, LCMF3",81,68,35,1,0,3,1,1.31,27,22,4,1,0,0,0,0,21,11,7,4,5,9,3,5,2,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,"CF, LCMF, RCMF",79,82,48,1,0,3,1,1.33,42,37,7,4,0,0,1,0,22,8,3,1,8,8,3,8,3,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,"AMF, LCMF",90,60,39,0,0,1,0,0.01,43,32,8,4,0,0,1,1,11,6,2,1,4,13,2,5,4,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,"AMF, LCMF",99,50,24,0,0,3,1,0.67,22,18,2,2,0,0,2,2,17,4,7,0,3,11,3,4,3,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,AMF,57,42,17,1,0,3,1,0.46,16,10,0,0,1,0,1,1,16,6,6,2,1,11,2,3,1,0,0
