Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Oral Roberts Golden Eagles - Central Arkansas Bears 4:1,United States. NCAA D1 Non-conference matches,2021-10-06,LCMF,83,75,49,0,0,0,0,0,42,37,3,3,2,1,3,2,23,12,5,3,4,11,0,7,5,71,0
FGCU Eagles - Central Arkansas Bears 1:2 (E),United States. NCAA D1 ASUN,2021-10-03,RCMF,109,79,38,0,0,1,1,0.05,39,24,7,2,0,0,0,0,30,12,4,0,7,19,5,12,2,0,0
Central Arkansas Bears - Bellarmine Knights 2:0,United States. NCAA D1 ASUN,2021-09-25,"LCMF, RCMF",103,63,39,0,0,1,0,0.02,42,33,3,1,2,0,1,1,14,5,5,1,4,11,3,9,3,0,0
North Florida Ospreyes - Central Arkansas Bears 0:1,United States. NCAA D1 ASUN,2021-09-19,"LCMF, RCMF",107,74,45,0,0,1,0,0.11,41,31,12,6,1,0,3,3,18,11,3,3,8,3,1,20,10,0,0
Central Arkansas Bears - Memphis Tigers 3:2,United States. NCAA D1 Non-conference matches,2021-09-15,"LCMF, RCMF",85,55,34,0,0,2,1,0.11,28,22,1,0,0,0,0,0,18,10,9,4,5,10,4,18,3,0,0
Missouri State Bears - Central Arkansas Bears 2:1,United States. NCAA D1 Non-conference matches,2021-09-09,"LCMF, RCMF",99,67,30,0,0,0,0,0,23,13,3,1,1,0,1,1,28,16,7,5,7,11,6,10,6,0,0
UAB Blazers - Central Arkansas Bears 0:1,United States. NCAA D1 Non-conference matches,2021-09-06,LCMF,101,64,32,0,0,3,0,0.01,31,21,5,1,0,0,1,0,20,10,7,3,7,10,3,15,7,0,0
Elon Phoenix - Central Arkansas Bears 0:1,United States. NCAA D1 Non-conference matches,2021-09-03,"LCMF, RCMF",102,63,37,0,0,1,0,0.09,31,22,8,4,1,1,2,0,22,14,7,5,6,13,2,21,14,73,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,LCMF,101,78,44,0,0,4,2,0.29,44,31,8,6,0,0,1,1,22,11,3,2,3,8,3,12,6,0,0
Central Arkansas Bears - UTRGV Vaqueros 4:3,United States. NCAA D1 Non-conference matches,2021-08-27,RCMF,112,52,30,1,0,3,2,0.43,21,13,6,2,1,0,2,2,18,14,1,1,4,7,2,10,4,0,0
Central Arkansas Bears - Missouri State Bears 1:2,United States. NCAA D1 Non-conference matches,2021-04-03,"LCMF, RCMF",102,85,43,0,0,1,0,0.08,42,24,11,3,1,0,4,3,31,19,4,2,6,17,5,12,9,0,0
Virginia Cavaliers - Central Arkansas Bears 1:0,United States. NCAA D1 Non-conference matches,2021-03-23,RCMF,98,72,36,0,0,0,0,0,26,19,5,3,0,0,1,0,31,17,7,5,4,9,2,15,11,48,0
Lipscomb Bisons - Central Arkansas Bears 2:1,United States. NCAA D1 Non-conference matches,2021-03-16,"LCMF, RCMF",100,60,34,0,0,2,0,0.33,25,18,7,4,1,0,2,1,26,16,2,2,0,11,4,11,4,0,0
Belmont Bruins - Central Arkansas Bears 0:0,United States. NCAA D1 Non-conference matches,2021-02-26,"LCMF, RCMF",110,82,56,0,0,2,1,0.05,49,35,15,8,3,2,3,3,26,20,7,3,3,9,2,15,7,0,0
Central Arkansas Bears - UMKC Kangaroos 2:1,United States. NCAA D1 Non-conference matches,2021-02-07,"LCMF, RCMF",95,71,35,2,0,4,2,0.85,41,27,9,3,0,0,3,1,17,5,1,0,3,20,3,11,7,0,0
Central Arkansas Bears - Oral Roberts Golden Eagles 0:1,United States. NCAA D1 Non-conference matches,2021-02-03,"DMF, LCMF3, RCMF3",98,68,37,0,0,0,0,0,29,19,6,4,1,1,2,0,31,17,6,4,1,7,0,14,3,0,0
Georgia State Panthers - Central Arkansas Bears (P) 1:1,United States. NCAA D1 Sun Belt,2020-11-13,LDMF,97,87,54,0,0,2,1,0.07,39,31,6,4,0,0,2,2,37,22,2,2,10,11,4,21,2,0,0
Central Arkansas Bears - Georgia State Panthers 2:0,United States. NCAA D1 Sun Belt,2020-10-24,"LCMF, RCMF",59,46,27,0,0,1,0,0,25,16,4,1,1,1,2,2,17,11,5,5,4,13,2,13,8,0,0
Georgia Southern Eagles - Central Arkansas Bears 1:4,United States. NCAA D1 Sun Belt,2020-10-10,"LCMF, LCMF3, LDMF",96,85,58,1,0,1,1,0.84,57,43,10,5,1,0,2,1,21,14,9,7,3,12,2,12,5,84,0
