Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Saint Louis Billikens - Rhode Island Rhody 3:1,United States. NCAA D1 Atlantic 10,2021-10-31,0,5,9,5,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0
VCU Rams - Saint Louis Billikens 1:4,United States. NCAA D1 Atlantic 10,2021-10-10,0,6,7,4,0,0,0,0,0,4,1,0,0,0,0,0,0,2,2,1,1,0,2,1,1,1,0,0
Saint Louis Billikens - George Mason Patriots 4:0,United States. NCAA D1 Atlantic 10,2021-09-26,0,8,6,4,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Saint Louis Billikens - SIUE Cougars 1:1 (E),United States. NCAA D1 Non-conference matches,2021-09-15,0,4,8,3,0,0,0,0,0,3,1,0,0,2,0,0,0,4,2,1,1,0,2,0,2,2,0,0
Saint Louis Billikens - Memphis Tigers 3:0,United States. NCAA D1 Non-conference matches,2021-09-07,CF,11,13,10,0,0,0,0,0,9,8,0,0,0,0,0,0,4,2,3,1,0,2,0,1,0,0,0
UIC Flames - Saint Louis Billikens 2:2,United States. NCAA D1 Non-conference matches,2021-09-04,0,7,13,3,0,0,0,0,0,5,2,0,0,0,0,0,0,3,1,0,0,1,3,0,1,0,0,0
Saint Louis Billikens - Creighton Bluejays 4:0,United States. NCAA D1 Non-conference matches,2021-08-29,CF,30,22,5,0,0,0,0,0,10,4,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0
Saint Louis Billikens - St. Bonaventure Bonnies 6:1,United States. NCAA D1 Atlantic 10,2021-04-04,LW,22,21,13,0,0,0,0,0,12,11,1,1,0,0,2,0,7,2,0,0,0,1,0,1,1,42,0
St. Bonaventure Bonnies - Saint Louis Billikens 0:2,United States. NCAA D1 Atlantic 10,2021-03-17,LW,62,33,22,0,0,1,1,0.56,15,10,1,0,3,1,2,1,15,10,0,0,2,3,0,1,0,0,0
Saint Louis Billikens - University of Dayton  Flyers 2:0,United States. NCAA D1 Atlantic 10,2021-03-14,0,8,9,3,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,1,0,1,3,2,1,0,0,0
Saint Louis Billikens - Lipscomb Bisons 2:0,United States. NCAA D1 Non-conference matches,2021-03-08,0,29,25,15,0,0,0,0,0,12,11,2,2,0,0,1,0,10,3,3,1,0,2,0,3,3,0,0
Saint Louis Billikens - Columbia Cougars 0:1,United States. NCAA D1 Non-conference matches,2021-03-03,LW,52,53,30,0,0,0,0,0,25,19,6,2,2,1,4,3,21,10,5,3,2,13,0,6,3,0,0
Xavier Musketeers - Saint Louis Billikens 1:3,United States. NCAA D1 Non-conference matches,2021-02-26,LW,52,41,23,0,0,2,0,0.12,17,15,1,1,0,0,3,0,17,7,3,3,3,4,0,5,3,0,0
Butler Bulldogs - Saint Louis Billikens 0:2,United States. NCAA D1 Non-conference matches,2021-02-22,0,48,51,25,0,1,0,0,0,26,16,1,0,0,0,2,0,12,6,1,1,3,13,2,9,7,0,0
Marquette Golden Eagles - Saint Louis Billikens 1:0,United States. NCAA D1 Non-conference matches,2021-02-13,CF,25,13,8,0,0,1,0,0.04,9,8,0,0,1,1,0,0,2,0,1,0,1,2,0,1,0,0,0
Saint Louis Billikens - McKendree 2:1,United States. NCAA D1 Non-conference matches,2021-02-06,LWF,16,26,10,0,0,0,0,0,7,6,0,0,0,0,1,0,9,4,0,0,2,3,2,2,0,0,0
Saint Louis Billikens - UMKC Kangaroos 3:0,United States. NCAA D1 Non-conference matches,2021-02-04,LCMF3,43,58,30,0,1,1,0,0.05,28,23,4,2,1,0,0,0,14,5,1,0,2,7,2,6,2,0,0
