Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,0,48,35,23,0,0,0,0,0,17,11,0,0,0,0,0,0,16,12,5,3,2,5,2,11,4,0,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,RCMF,42,15,9,0,0,0,0,0,7,5,1,0,0,0,0,0,6,4,2,1,2,3,2,4,0,0,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,RCMF,44,42,35,0,0,0,0,0,31,27,1,1,0,0,0,0,10,8,1,1,2,4,1,10,5,0,0
Mercer Bears - Belmont Bruins 4:3,United States. NCAA D1 Southern,2021-11-14,RCB,110,71,43,0,0,0,0,0,42,30,13,5,0,0,0,0,24,12,3,3,2,14,8,20,0,0,0
UNCG Spartans - Belmont Bruins 1:2,United States. NCAA D1 Southern,2021-11-08,RCB,100,49,22,0,0,0,0,0,17,14,5,5,0,0,0,0,19,7,5,1,11,6,5,12,0,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-11-05,RCB,99,62,39,0,0,0,0,0,37,29,7,4,0,0,0,0,14,8,5,3,7,7,3,16,2,0,0
Eastern Illinois Panthers - Belmont Bruins 0:2,United States. NCAA D1 Non-conference matches,2021-10-26,RCB,93,60,41,0,0,0,0,0,40,35,9,7,0,0,1,0,14,6,2,1,1,6,4,5,1,0,0
Belmont Bruins - UNCG Spartans 2:1,United States. NCAA D1 Southern,2021-10-17,RCB,99,50,29,0,0,0,0,0,24,21,3,3,0,0,1,1,20,8,1,0,7,4,3,8,0,0,0
Belmont Bruins - Evansville Purple Aces 2:1,United States. NCAA D1 Non-conference matches,2021-10-13,RCB,100,52,39,0,0,0,0,0,29,27,2,1,0,0,1,1,17,11,1,1,5,3,2,11,1,0,0
Belmont Bruins - Wofford Terriers 1:0,United States. NCAA D1 Southern,2021-10-10,RCB,98,47,26,0,0,0,0,0,19,12,3,2,0,0,0,0,17,12,2,0,5,6,2,13,1,0,0
Belmont Bruins - IUPUI Jaguars 4:0,United States. NCAA D1 Non-conference matches,2021-10-05,RCB,96,61,47,0,0,0,0,0,47,41,11,8,0,0,2,0,11,6,1,1,3,3,2,14,0,0,0
VMI Keydets - Belmont Bruins 0:5,United States. NCAA D1 Southern,2021-10-02,RCB,97,66,53,0,0,0,0,0,49,43,8,5,0,0,1,1,12,11,1,1,7,5,4,14,1,0,0
Belmont Bruins - Bellarmine Knights 1:0,United States. NCAA D1 Non-conference matches,2021-09-30,RCB,96,84,62,0,0,0,0,0,64,56,8,2,0,0,0,0,13,4,3,1,4,9,6,10,1,0,0
Furman Paladins - Belmont Bruins 2:1,United States. NCAA D1 Southern,2021-09-26,RCB,103,61,36,0,0,1,0,0.28,29,20,4,2,1,0,1,0,26,14,8,3,4,7,2,15,4,0,0
Belmont Bruins - ETSU Buccaneers 1:0,United States. NCAA D1 Southern,2021-09-19,RCB,95,61,43,0,0,0,0,0,35,30,5,1,0,0,1,1,18,13,4,4,6,8,4,17,1,0,0
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,RCB,112,83,52,0,0,0,0,0,57,41,9,5,0,0,0,0,16,7,3,3,5,15,9,14,3,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,RCB,97,55,34,0,0,0,0,0,33,27,7,3,0,0,0,0,14,6,3,2,5,6,2,9,0,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,RCB,101,67,37,0,0,0,0,0,34,22,6,0,1,1,0,0,23,11,6,3,6,15,9,14,1,0,0
Missouri State Bears - Belmont Bruins 3:1,United States. NCAA D1 Non-conference matches,2021-08-27,RCB,97,54,40,0,0,0,0,0,30,26,4,2,0,0,1,1,15,12,2,2,6,6,5,8,0,0,0
UNCG Spartans - Belmont Bruins 1:0,United States. NCAA D1 Southern,2021-04-18,RCB,98,54,38,0,0,0,0,0,35,27,8,6,0,0,2,2,15,11,2,0,7,12,9,12,2,0,0
Furman Paladins - Belmont Bruins 1:3,United States. NCAA D1 Southern,2021-04-10,RCB,98,43,21,0,0,0,0,0,25,16,7,5,0,0,0,0,9,3,2,1,3,12,6,7,2,0,0
Belmont Bruins - Furman Paladins 0:3,United States. NCAA D1 Southern,2021-03-31,RCB,99,71,41,0,0,0,0,0,42,28,11,4,0,0,2,1,22,13,4,2,7,14,9,13,0,0,0
UNCG Spartans - Belmont Bruins 3:2,United States. NCAA D1 Southern,2021-03-27,RCB,106,64,36,0,0,0,0,0,37,25,11,7,0,0,0,0,16,9,2,0,7,13,8,12,1,0,0
ETSU Buccaneers - Belmont Bruins 0:0,United States. NCAA D1 Southern,2021-03-23,RCB,116,50,34,0,0,0,0,0,28,22,6,3,1,0,1,1,18,12,3,3,2,6,1,15,3,0,0
Belmont Bruins - VMI Keydets 5:0,United States. NCAA D1 Southern,2021-03-16,RCB,96,61,48,0,0,0,0,0,52,43,10,6,0,0,0,0,9,5,5,3,2,4,2,8,1,0,0
Wofford Terriers - Belmont Bruins 0:1,United States. NCAA D1 Southern,2021-03-13,RCB,94,43,27,0,0,0,0,0,23,16,7,3,1,0,3,3,11,9,1,1,5,11,4,7,1,0,0
Trevecca Nazarene Trojans - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2021-03-06,RCB,97,67,53,0,0,0,0,0,55,48,9,4,0,0,0,0,8,5,2,1,0,6,3,11,0,0,0
Belmont Bruins - Lipscomb Bisons 2:1 (E),United States. NCAA D1 Non-conference matches,2021-03-03,RCB,116,47,24,0,0,1,0,0.08,26,18,5,1,0,0,1,0,10,6,1,1,12,11,9,11,2,0,0
Belmont Bruins - Central Arkansas Bears 0:0,United States. NCAA D1 Non-conference matches,2021-02-26,RCB,121,54,32,0,0,0,0,0,28,19,6,3,0,0,0,0,17,8,3,0,2,9,7,19,0,0,0
Bellarmine Knights - Belmont Bruins 0:3,United States. NCAA D1 Non-conference matches,2021-02-21,RCB,101,88,59,0,0,0,0,0,59,47,10,3,0,0,0,0,14,9,2,2,3,13,7,11,2,0,0
